127.0.0.1 - - [12/Mar/2013:22:36:19 +0800] "GET / HTTP/1.1" 200 652
183.241.178.235 - - [12/Mar/2013:22:36:47 +0800] "GET / HTTP/1.1" 200 652
183.241.178.235 - - [12/Mar/2013:22:36:48 +0800] "GET /images/bg.png HTTP/1.1" 200 100224
183.241.178.235 - - [12/Mar/2013:22:36:48 +0800] "GET /favicon.ico HTTP/1.1" 200 652
183.241.178.235 - - [12/Mar/2013:22:36:52 +0800] "GET /Gravifile HTTP/1.1" 302 -
127.0.0.1 - - [12/Mar/2013:22:36:52 +0800] "GET /htmldoc/gravifile/gravifile.html HTTP/1.1" 200 2477
183.241.178.235 - - [12/Mar/2013:22:36:52 +0800] "GET /Gravifile/ HTTP/1.1" 200 2502
183.241.178.235 - - [12/Mar/2013:22:36:52 +0800] "GET /images/gravifile/head.jpg HTTP/1.1" 200 27026
183.241.178.235 - - [12/Mar/2013:22:36:52 +0800] "GET /images/gravifile/hr.jpg HTTP/1.1" 200 4934
183.241.178.235 - - [12/Mar/2013:22:36:52 +0800] "GET /images/gravifile/hr2.jpg HTTP/1.1" 200 3232
183.241.178.235 - - [12/Mar/2013:22:36:52 +0800] "GET /images/gravifile/favicon.ico HTTP/1.1" 200 3262
